player_id,player_index,n_observed_seasons,first_season_index,last_season_index,span_seasons,n_missing_within_span,has_gap,gap_count,recurrence_class
266885,879,1,4,4,1,0,FALSE,0,one-season
268776,880,1,5,5,1,0,FALSE,0,one-season
269060,881,4,1,4,4,0,FALSE,0,consecutive-repeat
269137,882,3,2,9,8,5,TRUE,1,repeated-with-gap
270037,883,6,6,12,7,1,TRUE,1,repeated-with-gap
270866,884,3,6,8,3,0,FALSE,0,consecutive-repeat
274344,885,1,12,12,1,0,FALSE,0,one-season
274435,886,6,4,9,6,0,FALSE,0,consecutive-repeat
275293,887,3,1,3,3,0,FALSE,0,consecutive-repeat
275296,888,2,5,12,8,6,TRUE,1,repeated-with-gap
275298,889,8,1,11,11,3,TRUE,2,repeated-with-gap
275338,890,8,5,12,8,0,FALSE,0,consecutive-repeat
275384,891,4,2,10,9,5,TRUE,1,repeated-with-gap
275417,892,6,5,10,6,0,FALSE,0,consecutive-repeat
275419,893,6,6,12,7,1,TRUE,1,repeated-with-gap
275485,894,3,7,9,3,0,FALSE,0,consecutive-repeat
276944,895,2,10,11,2,0,FALSE,0,consecutive-repeat
276979,896,6,6,11,6,0,FALSE,0,consecutive-repeat
278007,897,3,2,4,3,0,FALSE,0,consecutive-repeat
