feature_k,feature_l,obs_corr,pred_corr,pred_lo,pred_hi
per90_yellow_cards,per90_goals,-0.1353864765131484,-0.09703382620515032,-0.12056047088935898,-0.07643590444706475
per90_xg_shot,per90_assists,0.3200361799589781,0.24450666705270224,0.21982445024191002,0.267772673404633
per90_xg_assist,per90_assists,0.7067283250352986,0.4546889605213432,0.4352861598509253,0.47270584309023694
per90_shots,per90_assists,0.40345726049575503,0.3615387151032073,0.33919629394127804,0.38147651045611747
per90_head_shots,per90_assists,-0.03978687702796513,-0.09816365159384417,-0.1227273380871099,-0.07324763018924481
per90_received_pass,per90_assists,0.09509289022908254,0.0833892984039225,0.056563425677439015,0.1099537816372816
per90_passes,per90_assists,0.023962909969469284,0.019252839000037443,-0.009045198173445,0.04901209058045471
per90_forward_passes,per90_assists,-0.16933220681864844,-0.16960330369166607,-0.19507439785365588,-0.14121907908138315
per90_back_passes,per90_assists,0.4048448544789831,0.40815897781754734,0.3881334119307981,0.4279237335354428
per90_lateral_passes,per90_assists,-0.07190171733088303,-0.07706905557451517,-0.10332013053566987,-0.051911562505096036
per90_long_passes,per90_assists,-0.19354429678227836,-0.21479925899747143,-0.24159842837916748,-0.19057401567345655
per90_smart_passes,per90_assists,0.40892246918576325,0.3247212829045852,0.2709182134193573,0.3694111394241762
per90_progressive_passes,per90_assists,-0.04651613806842036,-0.08040788756023476,-0.10799023578385694,-0.052948590180204376
per90_passes_to_final_third,per90_assists,-0.03106142206229219,-0.02190708751484443,-0.05075321908331278,0.006168707757028466
per90_key_passes,per90_assists,0.6721933137242692,0.44381181174509676,0.4238633595941812,0.4619714870425545
per90_through_passes,per90_assists,0.36775298126165074,0.27797698676365,0.252768417881052,0.30225907605066776
per90_crosses,per90_assists,0.3983022768351837,0.37358325192094793,0.3539541825705494,0.394627244324974
per90_shot_assists,per90_assists,0.6240095190868529,0.49375355847078956,0.47477776392591126,0.5123254251765692
rate_successful_passes,per90_assists,-0.15644487599751702,-0.1391103658114449,-0.16572811985389055,-0.1148179774626623
rate_successful_progressive_passes,per90_assists,0.24751150415130588,0.20763486484850185,0.18489414242327407,0.2296044665735595
per90_dribbles,per90_assists,0.45098113247493327,0.4302771773797425,0.39831378475977613,0.45629676380996076
per90_progressive_run,per90_assists,0.3475405420454561,0.3626920225920259,0.3419352028875928,0.38457973068375845
per90_accelerations,per90_assists,0.3180895301709714,0.31325613593391605,0.2841408293315364,0.33701775945046264
rate_successful_dribbles,per90_assists,-0.07746108296586819,-0.0825311252199208,-0.10007224408266323,-0.06524863276574427
per90_touch_in_box,per90_assists,0.4302691196868433,0.3395391079566446,0.3155352716223028,0.36178612565091034
per90_losses,per90_assists,0.2963341714858613,0.25902715838885054,0.2342509712621562,0.2821481450648431
